"","OBJECTID","FS_UNIT_NA","FS_UNIT_ID","PHYSIOGNOM","USGS_ANDER","USGS_AND_1","LOCAL_ANDE","SAF_COVER_","SRM_COVER_","NVCS_CLASS","NVCS_SUBCL","NVCS_FORMA","NVCS_DIVIS","NVCS_MACRO","NVCS_GROUP","NVCS_ALLIA","NVCS_ASSOC","CULTURAL_C","CULTURAL_S","CULTURAL_F","CULTURAL_1","CULTURAL_G","CULTURAL_2","CULTURAL_T","CULTURAL_3","NVCS_LEGAC","AGGREGATIO","REGIONAL_D","REG_DOMINA","TOTAL_VEGE","TREE_CFA_C","TREE_CFA_V","SHRUB_CFA_","SHRUB_CFA1","CONIFER_CF","HARDWOOD_C","HERBACEOUS","OS_TREE_DI","OS_TREE__1","OS_TREE__2","REGIONAL_1","HARDWOOD_1","TREE_CFA_1","OS_TREE__3","OS_TREE__4","OS_TREE__5","REGIONAL_2","HERBACEO_1","SHRUB_CF_1","LOCAL_CLAS","LOCAL_CL_1","LOCAL_CL_2","LOCAL_CL_3","LOCAL_CL_4","LOCAL_CL_5","LOCAL_OS_T","LOCAL_OS_1","LOCAL_OS_2","MAP_UPDATE","UPDATE_COM","SOURCE_DAT","SOURCE_D_1","SOURCE_D_2","REV_DATE","DATA_SOURC","ACCURACY","ECOREGION_","ECOREGION1","ECOREGIO_1","ECOREGIO_2","ECOREGIO_3","CALVEGZONE","TILE","COVERTYPE","R05_DATA_S","CAUSE_DATE","PROD","CANOPYSTRU","REFORESTAT","ORIGIN_YEA","CWHR_LIFEF","CWHR_TYPE","CWHR_SIZE","CWHR_DENSI","SOURCE_D_3","CON_CFA","HDW_CFA","SHB_CFA","TOTAL_TREE","OS_TREE__6","OS_TREE__7","ORIG_FID","combined_c","tree_shrub","prefire","postfire","centroid_l","Shape_Leng","Shape_Area","random_sor","dnbr_0006_20070925","ndmi_2006","flow_accumulation"
"145","146",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","MP",NA,NA,"01",0,"40",0,"01",NA,NA,NA,0,NA,"QC","01","01","00",0,NA,"CQ",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2007/09/02","P",NA,"NS",0,"WHR_SHB","MCH","0","X","2007/09/02","00","05","55","05","N","02","1672","40_01_","01_40","25_75","1_25","34.7027195776893, -119.578410112448",1150.00035516,19650.0030457,0.549064,0.873301350552103,0.268110738644145,28086
"146","147",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","15","05",NA,"25","15","07","1673","_20_","20_","25_75","1_25","34.6984567889063, -119.655163370598",391.0736088,5462.87839917,0.792342,0.35967393964529,0.243972504705704,11
"147","148",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","15","05",NA,"25","15","07","1673","_20_","20_","75_100","25_75","34.6990950044666, -119.675394723712",611.867193495,8795.92519636,0.217632,0.248119309544563,0.163163085268092,718
"148","149",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","15","05",NA,"25","15","07","1673","_20_","20_","25_75","25_75","34.7028404982499, -119.666142970715",750.001035687,16300.0091218,0.194724,0.380493248210234,0.261646441570106,81
"149","150",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","15","05",NA,"25","15","07","1673","_20_","20_","25_75","25_75","34.7031240274214, -119.668429620788",1100.00085236,16374.9968258,0.110745,0.219311730347966,0.205782994665015,15348
"150","151",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","15","05",NA,"25","15","07","1673","_20_","20_","1_25","1_25","34.7083331416756, -119.68366092406",1399.99936697,17900.0114133,0.939712,0.386431101370941,0.311571239766811,2259
"151","152",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","15","05",NA,"25","15","07","1673","_20_","20_","75_100","25_75","34.7130915161844, -119.674162165574",511.470610203,7950.92331171,0.147038,0.443932291534212,0.409113462031471,1489
"152","153",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"01",NA,NA,"25",0,NA,"QC","20","20","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_HDW","MHW","4","P","2010/07/01","05","25",NA,"35","25","15","1674","_01_","40_","25_75","25_75","34.7124686264106, -119.656421610035",990.000247174,17750.0021817,0.361474,0.295548171550035,0.382040129788061,4482
"153","154",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","S","2010/07/01","05","05",NA,"15","25","15","1675","_01_","20_","25_75","25_75","34.7120468269602, -119.649734332561",500.000023806,7399.99695667,0.682437,0.306327017290252,0.253253773971449,194
"154","155",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"00",0,NA,"QC","01","01","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","2","P","2010/07/01","15","05",NA,"25","02","02","1676","_20_","20_","75_100","25_75","34.6992016931617, -119.678088778038",1069.99965114,19900.0160388,0.468503,0.446305643428456,0.254703493255954,175
"155","156",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","3","M","2010/07/01","25","15",NA,"45","07","07","1677","_20_","40_","75_100","1_25","34.7074679364652, -119.648285000872",309.999114828,4400.00541429,0.334406,0.211577641963959,0.502937786378034,67
"156","157",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","3","M","2010/07/01","25","15",NA,"45","07","07","1677","_20_","40_","75_100","75_100","34.7421286568448, -119.65333835255",509.998725345,11499.9999044,0.61866,0.251648022578313,0.396176186875715,28
"157","158",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","3","M","2010/07/01","15","25",NA,"45","07","07","1678","_20_","40_","75_100","75_100","34.7156479368382, -119.648066357889",516.626263301,9450.11507122,0.134605,0.128617938269268,0.25946682109181,72
"158","159",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","3","P","2010/07/01","15","15",NA,"35","07","07","1679","_20_","40_","1_25","1_25","34.70257042527, -119.68234389812",580.000427651,6050.00853239,0.727941,0.171086049328248,0.0431877409149268,545
"159","160",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","3","P","2010/07/01","15","15",NA,"35","07","07","1679","_20_","40_","25_75","25_75","34.7039847632924, -119.636422049456",709.999934044,16349.9999835,0.948069,0.227656249937258,0.394550657464197,14
"160","161",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,8,23,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2010/08/23","P",NA,NA,0,"WHR_CON","SMC","3","M","2010/08/23","25","15",NA,"45","07","07","1680","_20_","40_","25_75","1_25","34.7148719426036, -119.602422735526",910.000443416,21800.0035723,0.450819,0.536200160980225,0.454836087796387,9732
"161","162",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","25","05",NA,"35","15","07","1681","_20_","40_","75_100","75_100","34.7010726918188, -119.673162938458",463.306011181,7141.57111993,0.103328,0.254295654594898,0.187446445832967,404
"162","163",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2007/09/02","15","05",NA,"25","15","07","1682","_20_","20_","75_100","25_75","34.7016013529514, -119.594171917054",659.999731385,10625.0001959,0.355691,0.338384435935454,0.375305804230326,21
"163","164",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2007/09/02","15","05",NA,"25","15","07","1682","_20_","20_","25_75","25_75","34.7041737871744, -119.603055057911",989.999848772,22100.0054818,0.228112,0.392724839540628,0.361071370466919,1158
"164","165",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2007/09/02","15","05",NA,"25","15","07","1683","_20_","20_","25_75","25_75","34.698708985786, -119.590207842844",509.999524709,8999.99710176,0.13671,0.280320316553116,0.330973857321725,38
"165","166",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2002,6,15,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","3","M","2002/06/15","25","15",NA,"45","07","07","1684","_20_","40_","75_100","25_75","34.7102027929398, -119.647670737328",949.999545232,12550.0030788,0.372591,0.268147869752004,0.471332954660739,9
"166","167",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","3","M","2010/07/01","25","25",NA,"55","07","07","1685","_20_","40_","75_100","75_100","34.7040297896202, -119.647583077526",759.999336439,12050.0142664,0.355036,0.101741639467386,0.403774470584379,2392
"167","168",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2007/09/02","15","05",NA,"25","25","15","1686","_20_","20_","1_25","1_25","34.6989075981198, -119.592414167798",830.000139633,11950.007754,0.0674463,0.381136409365214,0.249001582906478,2076
"168","169",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2007/09/02","15","05",NA,"25","25","15","1686","_20_","20_","25_75","25_75","34.6993549607174, -119.595697591772",1210.00135846,26150.0121558,0.142931,0.382388826873567,0.352610271328979,88
"169","170",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"07",0,NA,"QC","01","01","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","3","P","1993/05/29","15","05",NA,"25","07","02","1687","_20_","20_","25_75","25_75","34.703677382899, -119.670406812094",1159.99955533,27850.0056325,0.0730119,0.301258692967481,0.235525991776875,1259
"170","171",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","3","M","2010/07/01","25","15",NA,"45","07","15","1688","_20_","40_","25_75","25_75","34.7106062613924, -119.652837261347",579.999727845,7025.0051673,0.322062,0.259122759103775,0.484963162495436,454
"171","172",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2002,6,15,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2002/06/15","25","05",NA,"35","15","07","1689","_20_","40_","75_100","25_75","34.7027652486893, -119.636272766979",490.001123879,7000.0014878,0.374338,0.202769289414088,0.427840410015529,47
"172","173",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2007/09/02","25","05",NA,"35","15","07","1690","_20_","40_","75_100","75_100","34.6977310156359, -119.591526533234",809.99883888,14775.0019715,0.263949,0.183539232239127,0.344542406930657,106
"173","174",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","2007/09/02","25","05",NA,"35","15","07","1690","_20_","40_","75_100","25_75","34.7063361300783, -119.602274265428",990.001547729,19500.0062295,0.818625,0.321246945045211,0.461250494024844,58
"174","175",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","M","1993/05/29","25","15",NA,"45","15","02","1691","_20_","40_","75_100","25_75","34.7059186326765, -119.669725850391",875.808465773,15111.5231614,0.444155,0.226618161096292,0.28183173267277,16979
"175","176",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","M","1993/05/29","25","15",NA,"45","15","02","1691","_20_","40_","25_75","25_75","34.7065808116397, -119.681366587046",999.999347572,13224.9960219,0.0130749,0.2486931392923,0.347195961701006,1524
"176","177",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","M","1993/05/29","25","15",NA,"45","15","02","1691","_20_","40_","25_75","25_75","34.7090398509785, -119.667910181525",779.999337104,12825.0042183,0.112668,0.249571815133095,0.32381337193481,1536
"177","178",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","P","1993/05/29","15","15",NA,"35","15","02","1692","_20_","40_","25_75","1_25","34.7060218990853, -119.66576654489",733.155471002,10249.6766421,0.63848,0.403711983561516,0.28635791277269,219
"178","179",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","P","1993/05/29","15","15",NA,"35","15","02","1692","_20_","40_","25_75","25_75","34.7071132380519, -119.668096769829",470.000522372,6150.00241391,0.367981,0.285721565995898,0.35034770038794,70
"179","180",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"15",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","P","2007/09/02","15","15",NA,"35","15","02","1693","_20_","40_","1_25","1_25","34.7048157478715, -119.601708130745",549.999426154,10500.0024974,0.235119,0.413505939336923,0.399325779758327,66
"180","181",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","40","40","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,8,23,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2010/08/23","P",NA,NA,0,"WHR_MIX","MHC","3","M","2010/08/23","15","35",NA,"55","07","07","1694","_20_","40_","1_25","1_25","34.7079446248684, -119.603989368001",429.999521572,5599.98834584,0.0939143,0.132926305135091,0.375817430000451,1787
"181","182",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","40","40","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","3","M","1997/08/28","15","35",NA,"55","07","07","1695","_20_","40_","75_100","25_75","34.7071102672162, -119.657204802498",490.001423361,5300.00018112,0.076359,0.214713147708348,0.407089941658691,8
